movie_id,title,genre,budget,production_house,release_year,duration_mins,language,imdb_rating,popularity_score
45,Establish Policy,Comedy,173611783,Lionsgate Films,2015,158,Korean,6.0,99
46,Interest Short,Romance,30589929,Lionsgate Films,2001,104,English,6.0,76
47,Try Daughter,Drama,169391511,Universal Studios,2017,83,English,9.3,50
48,Late Moment,Thriller,189852721,Lionsgate Films,2001,167,Korean,8.2,68
49,Back Ahead,Drama,274130707,DC,2021,169,English,9.1,13
50,Voice Me,Documentary,100699823,Warner Bros,2022,120,English,8.1,64
51,Example Discussion,Thriller,9371273,Universal Studios,2012,106,French,5.1,38
52,Above Enjoy,Action,130056992,DC,2005,129,Tamil,6.4,52
53,Floor His,Action,84713740,Legendary,2019,111,Spanish,7.8,55
54,Chance Learn,Romance,110992115,Marvel Studios,2013,168,English,6.6,53
55,Recently Account,Horror,150296649,Warner Bros,2024,142,Hindi,7.5,81
56,Few Enough,Horror,23440854,Paramount Pictures,2004,164,French,5.6,82
57,Its Lay,Comedy,62889621,Legendary,2025,142,English,5.4,42
58,Plan Discuss,Drama,138706938,Sony Pictures,2009,148,Hindi,5.9,73
59,Field Require,Romance,59246227,Walt Disney,2012,105,English,7.3,64
60,College Begin,Thriller,69244361,Lionsgate Films,2001,140,Korean,5.0,30
61,Authority Drive,Action,209340192,Legendary,2002,177,French,8.5,31
62,High Every,Horror,200126441,Paramount Pictures,2023,98,Korean,7.5,6
63,Both Eye,Thriller,113974472,DC,2001,152,English,9.2,44
64,Shake Grow,Romance,95236419,DC,2014,105,French,4.8,49
65,Discover Once,Drama,157661938,Lionsgate Films,2002,108,Tamil,7.6,43
66,Group Run,Documentary,14588026,Paramount Pictures,2002,111,Spanish,7.1,72
67,Either Present,Drama,77967666,Lionsgate Films,2010,87,English,7.9,53
68,Form Expect,Action,92222548,DC,2011,84,Tamil,9.0,88
69,According Line,Thriller,4168400,Sony Pictures,2000,152,English,8.6,99
70,Short Whom,Comedy,121537222,Universal Studios,2018,149,English,4.6,61
71,Ground Choice,Horror,152649093,MGM Studios,2012,137,French,5.7,63
72,Mind Fund,Romance,186298981,Paramount Pictures,2015,99,Korean,7.2,47
73,Edge Early,Thriller,78528135,Marvel Studios,2020,173,Tamil,9.3,50
74,Job Side,Romance,87069344,DC,2023,82,Korean,8.5,19
75,Source Listen,Action,247924148,Sony Pictures,2022,149,Tamil,9.4,17
76,Worker Couple,Sci-Fi,112723331,Sony Pictures,2013,133,Korean,8.2,57
77,Remain Red,Horror,249848879,DC,2010,121,French,6.5,93
78,Agency Central,Thriller,133074065,Warner Bros,2022,104,Spanish,5.5,94
79,Myself Full,Sci-Fi,249773059,Lionsgate Films,2024,132,Hindi,7.7,28
80,Fire Station,Horror,76876767,Paramount Pictures,2003,149,French,6.8,100
81,Early Forward,Horror,28319058,Warner Bros,2006,123,Spanish,8.9,85
82,Than Here,Horror,278831156,Sony Pictures,2005,136,English,8.0,50
83,Military Bag,Drama,147737547,MGM Studios,2024,99,French,6.5,26
84,Step Why,Drama,221809494,DC,2014,111,French,5.2,63
85,Citizen Field,Sci-Fi,285857321,Universal Studios,2021,92,English,4.9,2
86,Bit Evening,Action,178977342,Walt Disney,2010,125,Tamil,8.2,28
87,Check White,Romance,36445872,DC,2019,120,Spanish,9.0,58
88,Turn Training,Documentary,182795641,Legendary,2009,118,English,8.5,21
89,In Wide,Drama,88647798,Sony Pictures,2003,148,Spanish,6.5,72
90,Involve Few,Documentary,151986683,Warner Bros,2003,164,Tamil,9.0,13
91,Three Some,Action,73799019,Sony Pictures,2015,128,Korean,5.4,3
92,Check Include,Sci-Fi,237725990,MGM Studios,2018,103,Korean,9.0,63
93,During Reach,Sci-Fi,183416196,Walt Disney,2011,88,Tamil,5.2,39
94,Senior Pick,Horror,81254687,Walt Disney,2025,165,Tamil,9.3,42
95,Positive Bring,Romance,45599315,DC,2019,143,English,7.6,76
96,Quickly Election,Horror,91763480,DC,2008,104,Spanish,5.9,67
97,Rest Heart,Action,263856859,DC,2005,86,French,5.7,40
98,Particularly Serve,Romance,242018031,Sony Pictures,2010,85,Hindi,8.2,98
99,Help Reach,Documentary,44080768,DC,2017,84,Tamil,8.9,80
100,Role Help,Action,11314450,Marvel Studios,2012,105,Korean,6.4,5
101,House Across,Romance,202402806,DC,2011,145,Korean,6.5,44
102,South Himself,Drama,186885698,Marvel Studios,2017,104,Korean,5.9,11
103,Admit American,Documentary,46524130,DC,2016,94,English,8.6,98
104,Court Myself,Comedy,131438710,Walt Disney,2005,127,English,5.3,31
105,Keep Recognize,Comedy,41486267,Universal Studios,2023,81,French,8.5,80
106,Safe Help,Comedy,84882745,MGM Studios,2020,138,French,8.9,86
107,Unit Be,Comedy,66486655,Universal Studios,2022,97,Tamil,9.1,11
108,Painting Play,Drama,50233146,Walt Disney,2000,135,French,5.7,7
109,Then Edge,Comedy,208715867,DC,2020,147,Tamil,6.9,26
110,Fine Majority,Documentary,100892823,Paramount Pictures,2009,173,French,7.5,8
111,Staff Million,Documentary,100282382,Lionsgate Films,2000,90,Tamil,9.4,34
112,Culture Box,Drama,291983194,MGM Studios,2006,169,English,8.0,10
113,Garden Plant,Thriller,101420656,DC,2024,109,Tamil,6.5,76
114,Have Enough,Romance,222342206,Lionsgate Films,2020,116,Tamil,6.6,45
115,Return Hard,Thriller,285837318,Universal Studios,2020,167,Hindi,5.9,21
116,Suffer Minute,Comedy,34081758,Walt Disney,2015,124,French,4.8,97
117,Between View,Horror,43923693,Paramount Pictures,2000,175,French,4.9,76
118,Decide Physical,Sci-Fi,36368416,MGM Studios,2008,173,Hindi,6.8,96
119,Sport Study,Documentary,199880280,Paramount Pictures,2009,177,Korean,6.1,96
120,Building Professor,Thriller,123466496,MGM Studios,2005,85,French,6.3,60
121,Make Resource,Documentary,175143621,Sony Pictures,2014,139,Korean,5.3,95
122,Direction Land,Horror,226269508,Universal Studios,2004,180,Hindi,6.4,81
123,Particular Turn,Drama,215436041,DC,2000,135,French,9.0,20
124,Positive Size,Drama,117497654,Walt Disney,2000,130,Korean,5.2,44
125,Nearly Card,Thriller,12639720,Paramount Pictures,2012,100,Hindi,8.6,71
126,Wife Leave,Romance,123266602,Warner Bros,2015,157,French,7.0,56
127,Beat Identify,Drama,262639817,Universal Studios,2011,93,English,9.3,91
128,Nature May,Documentary,156328491,Legendary,2007,146,Korean,8.5,54
129,Than Law,Documentary,7961920,Marvel Studios,2020,100,Hindi,7.7,88
130,Assume Minute,Horror,66416319,MGM Studios,2004,147,Hindi,6.2,48
131,Product Foot,Drama,199410061,MGM Studios,2015,88,English,6.7,54
132,Trade Fear,Thriller,113450825,DC,2022,109,Hindi,7.7,61
133,Food Lot,Romance,298961073,DC,2018,122,French,5.5,17
134,Example Available,Sci-Fi,123904086,MGM Studios,2019,110,Tamil,6.9,61
135,Theory Pay,Action,169287582,Lionsgate Films,2003,129,Tamil,7.6,11
136,Work Always,Documentary,249404407,MGM Studios,2023,114,English,6.7,100
137,Support Party,Thriller,149289310,Legendary,2011,179,English,6.9,29
138,Shoulder Reason,Action,176671882,DC,2019,141,Spanish,5.2,35
139,Design Admit,Sci-Fi,261220100,DC,2019,148,Tamil,8.6,83
140,Red According,Thriller,65619080,Marvel Studios,2023,87,French,8.9,68
141,Manage Fly,Romance,134265569,Sony Pictures,2013,169,English,6.0,27
142,Walk Manage,Drama,159969289,Universal Studios,2000,163,French,8.3,11
143,Where Administration,Sci-Fi,250612480,Legendary,2014,160,Korean,7.3,77
144,Indeed Next,Documentary,169624183,Walt Disney,2008,138,Hindi,5.5,78
145,Role Mrs,Documentary,153880854,Legendary,2018,96,Hindi,9.3,16
146,Box Already,Action,176308775,Lionsgate Films,2015,127,Tamil,6.1,93
147,Everything Information,Horror,296347251,Universal Studios,2020,135,French,6.1,23
148,Hope Whole,Sci-Fi,19540292,Marvel Studios,2010,152,Spanish,4.7,66
149,Figure Me,Action,71795426,Paramount Pictures,2002,88,Tamil,5.3,67
150,Behavior Talk,Drama,127171965,Walt Disney,2024,126,Hindi,6.2,53
151,Bar Suggest,Sci-Fi,38353613,Paramount Pictures,2012,149,English,7.1,83
152,Run Protect,Horror,84206405,Lionsgate Films,2002,106,Korean,5.3,98
153,Us Evening,Romance,123082381,Warner Bros,2001,162,French,7.3,7
154,Firm Season,Thriller,257996473,Universal Studios,2001,108,Tamil,9.2,18
155,Lawyer Husband,Sci-Fi,174382598,Sony Pictures,2024,161,French,6.5,66
156,Seem Song,Romance,265262503,Universal Studios,2021,171,French,6.6,9
157,Speech Draw,Action,108440971,MGM Studios,2001,106,Tamil,7.4,1
158,Husband His,Sci-Fi,44286524,MGM Studios,2011,145,Tamil,6.5,20
159,Sell Race,Action,152084683,Marvel Studios,2017,127,Spanish,6.4,26
160,Five Past,Romance,180575666,Warner Bros,2010,113,Korean,5.1,37
161,History Arrive,Documentary,16471264,Paramount Pictures,2019,163,French,7.1,52
162,Agency Source,Thriller,100230945,Walt Disney,2001,129,English,8.2,27
163,This Themselves,Thriller,161314906,Warner Bros,2018,118,Hindi,6.8,83
164,Sort Say,Thriller,136470022,Warner Bros,2016,83,Hindi,4.6,24
165,Story Happen,Sci-Fi,111784763,Paramount Pictures,2023,129,French,6.1,51
166,Usually Six,Drama,264969903,Paramount Pictures,2017,156,Hindi,8.5,86
167,Bit Its,Thriller,42700977,MGM Studios,2003,80,English,7.6,2
168,State Quickly,Romance,1005091,Marvel Studios,2014,128,French,7.3,21
169,Candidate Course,Comedy,29742911,DC,2006,162,Tamil,9.4,95
170,Unit Speech,Sci-Fi,41855608,Marvel Studios,2013,163,English,6.0,5
171,Read Sit,Comedy,163161921,Legendary,2008,138,Tamil,5.1,82
172,Voice Thought,Action,256821574,Legendary,2000,94,English,8.1,59
173,He Picture,Romance,145991029,Universal Studios,2022,152,Korean,4.8,89
174,Recognize Short,Drama,116682570,Walt Disney,2012,166,Korean,4.6,64
175,Consider With,Horror,251021635,Sony Pictures,2005,81,Spanish,9.0,85
176,Hear Anyone,Comedy,151765656,Marvel Studios,2023,141,Tamil,8.5,4
177,Door Movement,Romance,101969214,Warner Bros,2022,137,English,9.5,6
178,Outside Task,Horror,263276271,Warner Bros,2022,175,English,5.9,12
179,Level Force,Sci-Fi,245951368,Paramount Pictures,2017,100,Hindi,7.8,48
180,Difficult Take,Drama,173180532,DC,2013,102,Spanish,6.5,60
181,Impact Painting,Sci-Fi,158007648,Legendary,2021,176,Korean,7.9,53
182,Head Today,Sci-Fi,232773257,Walt Disney,2019,112,Tamil,6.2,46
183,Effect Rise,Documentary,243004627,Lionsgate Films,2021,101,English,6.2,81
184,End Back,Drama,184421880,Lionsgate Films,2020,175,Tamil,8.8,74
185,Full Professor,Drama,111494897,Sony Pictures,2002,133,English,9.5,70
186,Increase Close,Action,279941400,Walt Disney,2018,80,Hindi,9.2,86
187,Everyone Choose,Drama,122752835,DC,2015,94,Hindi,8.2,48
188,Responsibility Indicate,Horror,281848463,Sony Pictures,2007,153,Hindi,8.2,89
189,Happy Traditional,Comedy,122233406,Paramount Pictures,2004,168,Tamil,8.1,65
190,Event Sense,Comedy,266860042,Legendary,2002,168,Hindi,5.7,52
191,New Condition,Romance,113337030,Lionsgate Films,2020,92,Tamil,4.6,4
192,Purpose Lay,Romance,66001934,Warner Bros,2005,179,French,4.9,33
193,Item Night,Documentary,64862368,Sony Pictures,2011,164,Korean,4.6,77
194,Happy Trade,Romance,185237768,Sony Pictures,2011,106,Hindi,6.6,76
195,Professional Woman,Documentary,23481404,Paramount Pictures,2001,143,Hindi,6.3,33
196,Impact Year,Documentary,207027040,Lionsgate Films,2024,92,Korean,7.9,80
197,Fight Speech,Sci-Fi,264232348,Universal Studios,2012,84,Korean,8.3,12
198,Two Despite,Documentary,136375426,Lionsgate Films,2002,90,Tamil,8.1,92
199,Her Instead,Comedy,245107795,Sony Pictures,2023,123,Tamil,7.5,61
200,Fall Woman,Action,174340858,Marvel Studios,2017,179,French,8.8,28
201,Detail After,Horror,51977915,Universal Studios,2021,96,Spanish,8.8,100
202,Hope Clear,Action,272814808,Paramount Pictures,2002,144,Tamil,6.8,90
203,Country Audience,Horror,288581843,Universal Studios,2008,154,English,8.0,63
204,Lead Quickly,Drama,243518514,Marvel Studios,2005,85,Hindi,7.5,55
205,Fire Health,Comedy,84105570,Walt Disney,2006,141,Korean,5.7,50
206,We Statement,Drama,203249800,Universal Studios,2009,103,Tamil,6.2,88
207,Outside Exist,Documentary,123799839,Paramount Pictures,2025,169,English,5.0,18
208,Cell Cause,Drama,13712139,Paramount Pictures,2015,126,French,6.6,91
209,Decision Put,Sci-Fi,292781090,Walt Disney,2013,140,English,5.9,72
210,Rise Safe,Horror,36937361,Walt Disney,2002,113,French,6.3,52
211,Specific Cultural,Thriller,74834392,Walt Disney,2000,100,English,7.4,86
212,Most Write,Thriller,240499249,Lionsgate Films,2011,151,Hindi,6.9,85
213,Sign Assume,Drama,222865000,Walt Disney,2017,85,Tamil,5.5,39
214,Avoid Take,Drama,210760704,Universal Studios,2011,87,Spanish,8.4,15
215,Office Never,Romance,285820382,Universal Studios,2009,97,Hindi,9.1,62
216,Anyone With,Thriller,102289831,Paramount Pictures,2015,141,Tamil,5.0,50
217,Investment Pay,Comedy,79443493,Legendary,2016,98,English,6.9,10
218,Meeting Already,Drama,133643525,Sony Pictures,2020,126,Tamil,8.6,53
219,Be Wrong,Action,232858999,Universal Studios,2010,179,Korean,4.6,86
220,Not Imagine,Sci-Fi,210796391,Paramount Pictures,2019,108,French,9.0,62
221,Instead Effect,Horror,85441810,Warner Bros,2019,146,Hindi,7.0,10
222,About Serious,Horror,17596833,Sony Pictures,2002,151,English,8.0,100
223,Term My,Drama,22447214,DC,2008,130,Hindi,6.8,44
224,Something Notice,Romance,288382143,MGM Studios,2010,119,Korean,7.1,50
225,Tell Natural,Drama,252968606,DC,2002,168,Korean,9.4,69
226,Three Moment,Comedy,136072930,Marvel Studios,2008,116,Spanish,7.1,41
227,Know Own,Sci-Fi,129534837,MGM Studios,2006,124,Hindi,5.5,43
228,Within Reason,Horror,150530435,Marvel Studios,2019,134,French,7.8,99
229,Risk Collection,Drama,159385133,Warner Bros,2021,167,Hindi,8.1,71
230,Lead Of,Sci-Fi,110771034,Paramount Pictures,2018,146,Tamil,5.1,93
231,Protect Town,Romance,133621681,Warner Bros,2019,161,Hindi,5.4,83
232,Strong Lawyer,Documentary,202325852,Warner Bros,2012,141,French,5.9,73
233,Third Fight,Documentary,289519053,DC,2004,112,Spanish,4.9,16
234,Little Fight,Horror,296645908,Sony Pictures,2000,88,Tamil,8.6,33
235,Before Prepare,Documentary,245147717,Lionsgate Films,2018,115,Spanish,7.3,26
236,Cold Use,Romance,28376678,Sony Pictures,2020,142,Spanish,5.0,56
237,Weight Effort,Horror,169116820,Walt Disney,2004,103,English,6.3,7
238,Apply Lot,Action,38731276,Marvel Studios,2003,150,Spanish,5.8,13
239,First Sing,Horror,111000954,Universal Studios,2021,152,English,4.5,44
240,Result Whatever,Romance,153572326,Sony Pictures,2007,109,Tamil,7.6,74
241,Religious Child,Romance,297683347,DC,2007,99,English,7.3,41
242,Back Between,Thriller,93257151,Sony Pictures,2006,149,Spanish,4.6,21
243,Others Because,Comedy,145809736,Paramount Pictures,2003,92,Tamil,8.7,29
244,Improve Century,Thriller,247695734,MGM Studios,2005,102,Tamil,5.9,1
245,Laugh Trouble,Thriller,166621583,Sony Pictures,2018,156,Korean,6.7,30
246,Yet Design,Comedy,45021876,Sony Pictures,2022,136,Korean,5.3,50
247,Idea Real,Horror,13362305,Lionsgate Films,2024,114,Tamil,8.9,63
248,Author Significant,Horror,282285665,DC,2010,82,Korean,7.0,50
249,Fact Pick,Documentary,111310640,DC,2004,170,English,7.5,90
250,Four Movement,Horror,91399210,Sony Pictures,2006,107,Hindi,6.3,36
251,Administration Good,Thriller,157056999,Warner Bros,2012,156,Korean,9.3,88
252,Black Relationship,Thriller,35732841,Paramount Pictures,2022,82,Korean,7.4,47
253,Home Have,Horror,12002696,Paramount Pictures,2013,172,Korean,9.0,12
254,Building Hit,Horror,137862209,DC,2007,114,Hindi,9.1,34
255,Summer Daughter,Documentary,85878324,Legendary,2007,154,French,7.1,68
256,Film Must,Thriller,20484818,Sony Pictures,2011,86,Tamil,4.9,21
257,Black Science,Comedy,297795138,Universal Studios,2008,90,Spanish,9.2,58
258,Instead Look,Drama,158385217,Legendary,2013,115,Tamil,5.6,40
259,Available Head,Drama,280445590,Walt Disney,2007,91,Spanish,4.8,84
260,Relationship Knowledge,Drama,155749276,Lionsgate Films,2015,134,Tamil,5.7,26
261,Something First,Comedy,37175489,Walt Disney,2008,180,Tamil,7.2,100
262,Prevent Eye,Documentary,298125114,DC,2023,102,Tamil,7.2,24
263,Let Actually,Thriller,5695737,DC,2005,178,Hindi,7.1,3
264,Force Seat,Action,212422815,Legendary,2005,86,Korean,5.3,17
265,Imagine Age,Thriller,198134085,MGM Studios,2025,115,Korean,5.7,23
266,Low Join,Comedy,134259307,Legendary,2020,157,English,4.8,49
267,Bed Land,Drama,1307837,Marvel Studios,2014,147,Korean,7.9,51
268,Now Artist,Horror,282884492,Paramount Pictures,2020,146,Hindi,8.4,74
269,Soldier Ok,Horror,135985353,Lionsgate Films,2013,101,Spanish,8.8,17
270,Civil War,Action,112074843,Walt Disney,2019,127,Hindi,5.1,53
271,To First,Horror,202833516,Marvel Studios,2011,83,Hindi,6.9,97
272,Contain Area,Action,116733494,Sony Pictures,2024,161,Tamil,6.7,76
273,Bill Chair,Drama,163120058,Sony Pictures,2007,98,English,9.0,57
274,Baby Tax,Romance,262335787,Sony Pictures,2014,171,Korean,6.4,27
275,Yeah Treatment,Documentary,71015542,Sony Pictures,2001,111,Tamil,9.0,13
276,Sound Total,Romance,201808857,Universal Studios,2011,139,Korean,8.9,56
277,Film Quality,Comedy,158813763,DC,2016,150,Korean,4.7,62
278,Garden Yeah,Comedy,190237564,DC,2006,119,Spanish,5.3,13
279,Material Democrat,Drama,145745020,Universal Studios,2000,145,Tamil,7.7,48
280,Plant Guy,Action,241710720,Sony Pictures,2010,158,Korean,6.2,42
281,Main Somebody,Romance,198551067,Universal Studios,2025,146,Spanish,5.1,57
282,Prevent Suddenly,Documentary,233684243,Lionsgate Films,2001,165,Spanish,8.1,73
283,Add College,Comedy,83318419,Sony Pictures,2010,164,French,6.7,93
284,Pass Measure,Romance,78283361,Legendary,2024,105,English,7.6,36
285,Power Finally,Horror,119239133,Universal Studios,2001,118,English,9.3,25
286,Agency Fine,Horror,104972707,Sony Pictures,2025,99,Korean,7.2,33
287,Ever Face,Thriller,1304394,Walt Disney,2005,84,Hindi,8.1,9
288,Standard Your,Thriller,252420196,Legendary,2021,143,English,4.9,59
289,Herself Choose,Sci-Fi,200778460,Paramount Pictures,2008,153,Spanish,7.2,95
290,Civil Conference,Sci-Fi,176306107,Lionsgate Films,2004,165,French,8.7,76
291,Study Around,Romance,132692577,Warner Bros,2000,135,Korean,5.9,66
292,Drug Study,Romance,268831138,Sony Pictures,2001,155,Hindi,8.5,33
293,Maybe Manager,Comedy,80441845,Lionsgate Films,2007,180,Tamil,8.9,32
294,Low Play,Documentary,83279897,Walt Disney,2022,149,Spanish,6.3,96
295,Somebody Miss,Horror,226105426,MGM Studios,2010,118,English,5.7,80
296,Continue Accept,Documentary,36605599,DC,2001,135,Korean,8.6,20
297,Doctor Seek,Horror,255033430,Universal Studios,2010,127,English,6.0,63
298,Teacher Letter,Documentary,213785925,MGM Studios,2006,131,Korean,8.7,37
299,Open Policy,Thriller,89527021,DC,2005,156,Hindi,7.5,11
300,Degree Office,Comedy,45074344,Walt Disney,2025,174,English,5.3,55
301,Admit Door,Documentary,50561261,Legendary,2001,80,Korean,5.4,18
302,Truth Police,Romance,197906526,DC,2021,153,English,4.7,40
303,With Career,Sci-Fi,54671690,Universal Studios,2018,90,English,7.6,25
304,Site Already,Drama,210843598,Paramount Pictures,2003,114,Spanish,6.0,68
305,Yourself Along,Comedy,153710168,Legendary,2002,139,Spanish,8.8,21
306,Scene Read,Comedy,267511052,MGM Studios,2007,168,Hindi,4.7,44
307,Fish Last,Drama,254757568,Paramount Pictures,2011,145,Hindi,6.0,91
308,Soon His,Horror,225395719,Warner Bros,2025,119,French,6.1,31
309,Almost Movement,Documentary,80843932,Legendary,2001,90,English,7.4,16
310,Reach Hard,Drama,58807303,Paramount Pictures,2004,99,French,4.9,99
311,Federal Day,Sci-Fi,172772057,MGM Studios,2007,171,Korean,6.7,16
312,Much Part,Romance,113620417,Paramount Pictures,2020,84,Hindi,5.3,25
313,Care Among,Sci-Fi,36463199,Universal Studios,2001,112,Korean,5.4,64
314,Late Forward,Documentary,214400620,DC,2014,97,Hindi,8.2,91
315,High Sell,Horror,170000720,MGM Studios,2022,103,English,8.8,22
316,Act Kind,Romance,224231483,Walt Disney,2015,122,Tamil,4.7,18
317,Budget Actually,Thriller,276299034,MGM Studios,2015,115,Tamil,8.1,54
318,Cold How,Action,5952708,DC,2022,123,Spanish,6.4,1
319,Brother Result,Comedy,260200397,Lionsgate Films,2006,107,Tamil,6.2,85
320,It Water,Romance,286008179,Sony Pictures,2016,155,Spanish,9.1,26
321,Thank Performance,Horror,22166261,Paramount Pictures,2023,155,Spanish,6.0,97
322,Education Key,Documentary,24898091,Marvel Studios,2010,82,Korean,7.4,9
323,Week Already,Documentary,225006765,Paramount Pictures,2019,153,Tamil,9.1,76
324,Campaign Hour,Thriller,242200714,Marvel Studios,2009,163,English,8.6,86
325,City Weight,Romance,212963388,Marvel Studios,2000,147,Tamil,4.7,58
326,Class Eight,Thriller,214127112,Universal Studios,2013,86,English,8.5,36
327,Great Evidence,Horror,9774299,Lionsgate Films,2023,178,French,8.4,99
328,Born Last,Action,267629206,MGM Studios,2006,148,French,7.3,100
329,Ahead Rise,Comedy,127075224,Sony Pictures,2017,172,Hindi,5.4,84
330,Protect Easy,Thriller,8629661,Sony Pictures,2002,122,French,5.7,62
331,Successful Simply,Action,54397148,Legendary,2023,173,Hindi,5.3,38
332,Bank Direction,Romance,224110477,Legendary,2013,106,French,5.3,13
333,Record Skin,Romance,167157478,Lionsgate Films,2022,150,French,4.8,20
334,Bill Threat,Comedy,2786823,Warner Bros,2002,179,Hindi,9.3,15
335,Message Agree,Documentary,182209952,Walt Disney,2016,178,Spanish,6.8,16
336,Whole Listen,Documentary,150411478,Walt Disney,2011,180,English,6.3,50
337,Cell Miss,Thriller,293758096,Marvel Studios,2023,82,Spanish,8.5,99
338,Guess Just,Comedy,35055321,Legendary,2004,123,Tamil,7.1,89
339,Expert Far,Thriller,257994927,DC,2000,123,Korean,8.5,56
340,Under Role,Comedy,276103257,Sony Pictures,2006,101,Tamil,7.6,62
341,Interview Central,Comedy,122736121,Paramount Pictures,2017,178,Korean,6.4,83
342,Mr Fall,Sci-Fi,107898017,Universal Studios,2001,137,Tamil,4.5,46
343,Number According,Action,201004490,DC,2013,175,English,9.3,60
344,Avoid Assume,Comedy,72983444,Walt Disney,2019,146,Spanish,8.3,76
345,Movie Training,Drama,255170694,Paramount Pictures,2017,150,French,8.3,16
346,Wish Improve,Action,171224002,Warner Bros,2009,148,Korean,6.0,14
347,Reflect Simply,Action,162171395,Legendary,2022,113,Korean,9.5,36
348,Leg Among,Sci-Fi,222206829,Walt Disney,2016,126,English,7.0,95
349,Tell Guess,Romance,219437142,Universal Studios,2000,116,Hindi,5.4,12
350,Everybody Subject,Drama,282832717,MGM Studios,2019,92,Hindi,5.1,34
351,Such Chair,Sci-Fi,171892304,Walt Disney,2005,153,Tamil,7.4,11
352,Consider Turn,Thriller,27348928,Marvel Studios,2009,177,Spanish,8.3,11
353,Speak East,Romance,297549637,Marvel Studios,2003,131,English,6.1,54
354,Purpose Outside,Comedy,179921117,Marvel Studios,2023,86,Tamil,4.8,76
355,Occur Pass,Action,58353217,Paramount Pictures,2001,140,Hindi,6.5,14
356,Admit Follow,Romance,86258828,MGM Studios,2017,111,English,6.2,24
357,Detail Sing,Comedy,10043854,Paramount Pictures,2006,173,French,5.1,95
358,Center President,Thriller,219995279,Universal Studios,2021,146,Hindi,7.4,94
359,Know Already,Thriller,265490960,Lionsgate Films,2007,87,Korean,5.6,86
